,time,can_id,data_in_binary,data_in_hex
2410,1.3046337959999998,17D,0000000000000000000000000000000000000000000000000000000000000000,0000000000000000
2411,1.304879903,1C6,0001000000000000000100000000000000000000000000000000000000100000,1000100000000020
2412,1.305126011,1.00E+09,0000111111111010000000000000000000000000000000000000000000001001,0FFA000000000009
2413,1.305334091,34A,000000000000000000000000000000000000001100000011,000000000303
2414,1.305578231,230,0000000000000001011000000000000000000000000000000000100001101001,0001600000000869
2415,1.305820405,269,0000000000000000000101010101000001100000000000000100000000000101,0000155060004005
2416,1.307134628,191,1010011010101001000001101010000000000110101010100000000010100101,A6A906A006AA00A5
2417,1.307369053,C9,1000010000001011110000100000000000000000100000011000000001010010,840BC20000818052
2418,1.3076078290000002,194,0000010001000010111111110011011000101111100100010000000000000000,0442FF362F910000
2419,1.307841777,C9,1000010000001011110000100000000000000000100000011000000001010010,840BC20000818052
2420,1.308074236,19B,1011011010100000100001110010001001101010101000000000000000001001,B6A087226AA00009
2421,1.308308124,19D,0000101101001100100011111111111100000000010110101010000011011111,0B4C8FFF005AA0DF
2422,1.308548331,19E,1000000000000000000000000000000100001010111100000000000001111011,800000010AF0007B
2423,1.308788597,1F5,1000000000001111000011110000000000000000000000000000000010011110,800F0F000000009E
2424,1.30903083,3D1,0000010000001010000000000000000000000000001001110000000000000000,040A000000270000
2425,1.309271037,589,1000000000000000011101111100000000000000011010000011000001001111,800077C00068304F
2426,1.311331629,263,1101010101111000000000000000000000000000000000000000000001001101,D57800000000004D
2427,1.3122095459999998,1.00E+05,0100010000000000000010001000000000000010010000000010000000101110,440008800240202E
2428,1.312641859,348,000000000000000000000000000000000000000000000000,000000000000
2429,1.3133496040000001,C1,0001100000000000000000000000000000011000000000000000000000110000,1800000018000030
2430,1.313591837,C5,0001100000000001000000000000000000011000000000000000000000110001,1801000018000031
2431,1.313802361,34A,000000000000000000000000000000000000000000000000,000000000000
2432,1.3171323529999999,191,1110011010101001000001101010000000000110101010100000000011100101,E6A906A006AA00E5
2433,1.317368686,C9,1000010000001011110000100000000000000000100000011100000010010010,840BC2000081C092
2434,1.317541182,140,00000000000110000000000000000000,00180000
2435,1.317777574,C9,1000010000001011110000100000000000000000100000011100000010010010,840BC2000081C092
2436,1.318005621,19B,1111011010100000100001110010001001101010101000000000000001001001,F6A087226AA00049
2437,1.318237602,19D,0000101101010100110011111111111100000000010110101010000000100111,0B54CFFF005AA027
2438,1.318473935,19E,1100000000000000000000000000000100001010111100000000000010111011,C00000010AF000BB
2439,1.3187122340000001,1C3,0000011010101001000001100111111000000000000000000000000100000000,06A9067E00000100
2440,1.3189603090000002,1F5,1100000000001111000011110000000000000000000000000000000011011110,C00F0F00000000DE
2441,1.3192024820000001,3D1,0000010000001010000000000000000000000000001001110000000000000000,040A000000270000
2442,1.319440782,589,1100000000000000011101111100000000000000011010000011000010001111,C00077C00068308F
2443,1.322095155,1.00E+05,0100010000000000000010001000000000010010010000000010001001000000,4400088012402240
2444,1.322579145,348,000000000000000000000000000000000000000100000001,000000000101
2445,1.323333203,C1,0101100000000000000000000000000000011000000000000000000001110000,5800000018000070
2446,1.3235754370000001,C5,0101100000000001000000000000000000011000000000000000000001110001,5801000018000071
2447,1.32433778,128,0100111111100011000000001110110100000000000000000000000000011111,4FE300ED0000001F
2448,1.324581921,1C6,0001000000000000000100000000000000000000000000000000000100100001,1000100000000121
2449,1.324826061,1.00E+09,0000111111111010000000000000000000000000000000000000000100001010,0FFA00000000010A
2450,1.325036585,34A,000000000000000000000000000000000000000100000001,000000000101
2451,1.325288534,269,0100000000000000000101010101000001100000000000000100000001000101,4000155060004045
2452,1.327133119,191,0010011010101001000001101010000000000110101010100000000000100101,26A906A006AA0025
2453,1.3273675440000001,C9,1000010000001011110000100000000000000000100000010000000011010010,840BC200008100D2
2454,1.327597558,19B,0011011010100000100001110010001001101010101000000000000010001001,36A087226AA00089
2455,1.327831983,C9,1000010000001011110000100000000000000000100000010000000011010010,840BC200008100D2
2456,1.328065872,19D,0000101101010000000011111111111100000000010110101010000001100011,0B500FFF005AA063
2457,1.328306078,19E,0000000000000000000000000000000100001010111100000000000011111011,000000010AF000FB
2458,1.32855612,1F5,0000000000001111000011110000000000000000000000000000000000011110,000F0F000000001E
2459,1.32879883,3D1,0000010000001010000000000000000000000000001001110000000000000000,040A000000270000
2460,1.329039037,589,0000000000000000011101111100000000000000011010000011000011001111,000077C0006830CF
2461,1.331291198,263,0001010101111000000000000000000000000000000000000000000010001101,157800000000008D
2462,1.332165718,1.00E+05,0100010000000000000010001000000000100010010000000010000101001111,440008802240214F
2463,1.332613647,348,000000000000000000000000000000000000001000000010,000000000202
2464,1.333299934,34A,000000000000000000000000000000000000001000000010,000000000202
2465,1.333542108,C1,1001100000000000000000000000000000011000000000000000000010110000,98000000180000B0
2466,1.3337804070000001,C5,1001100000000001000000000000000000011000000000000000000010110001,98010000180000B1
